alpha,code
Q,rZZ
W,dZZ
E,eZZ
R,AZZ
T,iZZ
A,zZZ
S,hZZ
D,lZZ
F,aZZ
G,BZZ
Z,nZZ
X,QZZ
C,jZZ
V,sZZ
B,oZZ
Y,ZYZ
U,ZaZ
I,ZcZ
O,ZfZ
P,ZdZ
H,ZwZ
J,ZeZ
K,ZkZ
L,ZiZ
N,ZAZ
M,ZuZ
